"","wt_lowlight_dawn_0.5h","wt_lowlight_dawn_2h","wt_lowlight_dawn_4h","wt_lowlight_dawn_6h","wt_lowlight_dawn_8h","wt_lowlight_dawn_9h","wt_lowlight_dawn_10h","wt_lowlight_dawn_12h","wt_clearday_dawn_2h","wt_clearday_dawn_4h","wt_clearday_dawn_6h","wt_clearday_dawn_8h","wt_clearday_dawn_9h","wt_clearday_dawn_10h","wt_clearday_dawn_12h","wt_highlight_pulse_8h","wt_highlight_pulse_8.25h","wt_highlight_pulse_8.5h","wt_highlight_pulse_9h","wt_highlight_pulse_9.25h","wt_highlight_pulse_9.5h","wt_highlight_pulse_10h","wt_shade_pulse_8h","wt_shade_pulse_8.25h","wt_shade_pulse_8.5h","wt_shade_pulse_9h","wt_shade_pulse_9.25h","wt_shade_pulse_9.5h","wt_shade_pulse_10h"
"SYNPCC7942_RS00925",0.281751217956435,-0.255027162820376,0.889984624625648,0.168236500651358,0.687038496005172,0.277691489860351,0.306043293426263,-0.788949119889663,-0.226973802978024,-0.213842503527467,0.0106130224268462,-0.662175531224947,0.854847637511704,0.795628076643462,1.97450559348784,0.583849093304459,0.0181154354565942,-0.528199978763561,-0.355271047889898,1.61857274184117,1.54880236589058,0.744600878730842,0.551181777479589,2.51373710181966,2.24873745993598,2.34739344106929,0.625559937696918,0.749973869921798,0.477652552636343
"SYNPCC7942_RS00930",0.161867232544563,0.379262555683508,0.017519267083145,0.0976355431705807,0.532502023665938,0.648725914831586,0.559174431056356,0.115894203340017,-0.793100858473567,-0.294866236262236,-1.23353983828465,0.00780955695912969,-0.10906432530657,-0.00386865113455626,1.21095919130417,0.383408246064397,-0.210135794695834,-0.317432827050508,-0.337249501655662,0.164467120150319,0.139057464235469,0.496876334447313,-0.094207044518353,0.461387141345822,-0.535736509108823,0.56880417975286,-0.216596654885739,-0.500436672762246,-0.157969843739346
"SYNPCC7942_RS00935",-0.570226626498078,-0.466503847238112,-0.928542796073035,-0.947408554439659,-0.258845846260369,-0.297875131860094,-0.041312725052547,-0.355471256541974,-0.827159161949722,-0.790040112388498,-0.972271463453534,-0.596415607345125,-0.810862350581812,-0.658594870462318,0.504451125098472,-0.585218348372533,-0.672056369819406,-0.74827449857343,-1.11072906973751,-0.330060273062943,-0.681659196255126,-0.349885705783195,-0.986059946607103,-0.379858235278988,-0.368721074394541,-0.121694849052909,-0.393843495647657,-0.557521091241611,-0.528281474991333
"SYNPCC7942_RS00940",-0.132366357405024,0.453676664418654,0.321873300457648,0.397596680564091,-0.0786214479400965,0.18181888364619,0.200124918019799,0.0987033983931109,0.133513061624931,0.39146343297667,0.435889528744944,0.404882701504555,0.368771665027159,-0.0369907773844452,0.189345031195395,-0.146417837356615,-0.273762619323787,-0.127687614517853,0.284752349062374,0.328686035613465,-0.15189530483903,-0.20801967978926,-0.0486652309148117,0.379349940973129,0.176474902537313,-0.0590895529114779,-0.097116949264465,-0.555677851630324,0.0608133486016195
"SYNPCC7942_RS00945",-0.648292099938103,-0.526207105209002,-0.519634738245877,-0.745441111561211,-0.707702450150226,-0.636402090982765,-0.218581391794788,-0.616847942013975,-0.0911894617891862,-1.22747767915017,-0.330659085658414,0.15369448951475,-0.245121822820386,-0.848720994438459,-1.55525355690477,-0.240095831069727,-0.538837348308259,-0.595540716542675,-0.128787341993464,0.0480612203822132,-0.623590504620523,-1.45994452730858,-0.271437567682551,-0.483746527319381,-0.507170645246797,-1.2546003638224,-0.573258475556912,-0.769436555918339,0.169380780145172
"SYNPCC7942_RS00950",-0.501744575415955,0.00807795518467993,0.548480682620415,0.285302306775808,-0.00112149031653742,-0.1405877442577,-0.0776071806402003,-0.131825514335016,-0.0327194319539461,0.00342415956403228,0.258631211759556,0.00425360228830226,0.0836433565453465,-0.206463878278062,-0.220220377682727,0.114317402194343,-0.420954204254052,-0.291901370465283,-0.189863619874081,0.162827704862216,0.234731737687464,-0.0963160053467563,0.203160678011417,0.163351530626326,0.518878479560599,0.339366787404825,0.303426942413442,-0.328898267627091,-0.0469959663101726
"SYNPCC7942_RS00955",0.239728171644606,-1.67700095252031,-1.36334061559807,-0.687499003507732,-0.964241166360077,-1.30907965182514,-1.07121259941903,-1.26793578895735,-1.28406369182995,-1.75418771978304,-2.18100124470001,-0.991412898448255,-1.58679975484361,-1.19054994121882,-0.625114832936691,-0.752856466370922,-0.983763544770819,-0.759685426962025,-1.03288185059761,-1.36152725331994,-1.33895419626237,-0.98875213438961,-1.47483987792202,-1.5748193138335,-0.943937838463602,-1.02982097447379,-1.27636634504616,-1.10809979948185,-1.13979064945098
"SYNPCC7942_RS00960",-0.158847895000897,-0.223444742861973,-0.722728715238012,-0.641810184090518,-0.524778249470407,-0.406037895412356,-0.378577548718699,-0.460017335093733,0.122706033342704,-0.2400506760281,-0.359319522239628,-0.454281029188149,-0.366563382273506,-0.406530920705154,-0.592759493023749,-0.601571898224495,-0.132464103408931,-0.00513406407405727,-0.0694738605983527,-0.405166204890127,-0.535087110961156,-0.551149078279358,-0.388219693434686,-0.6640428491633,-0.689146423284338,-0.738173546233398,-0.851477004351685,-0.477393606607863,-0.196933103136588
"SYNPCC7942_RS00965",0.0791701602363599,-0.561319297813223,-0.238881609166617,0.0552696682445257,-0.54941713346505,-0.644430472239328,-0.681474021404474,-0.411238421177878,-0.4010332862748,-0.209328228417698,0.0650575135909056,-0.742416466771666,-0.291376586264745,-0.362882903596762,-1.56277195488124,-0.651703273626585,-0.825926193142607,-0.0357596575487255,-0.201925590066016,-0.592912905718437,-0.639342350179456,-0.274055492411197,-0.296024205438516,-0.483528549107953,-0.3506450934411,-0.850438818914832,-0.292255240018742,-0.440561972027349,-0.588948561674974
"SYNPCC7942_RS00970",0.247337656627869,0.200602925179317,-0.570867477044194,-1.12094178750914,-1.1252477250991,-0.853828832885695,-0.853088062063553,-0.716829159716751,0.849092769535603,0.343726057614934,-0.310346988722841,-0.808653526503541,-0.803882501011213,-0.934589608839896,-1.26080374997276,-1.09963948202936,-0.402472592387662,0.100916782209875,-0.053923053320736,-0.932125310948974,-0.988095024560776,-0.964490527857903,-0.611833003212306,-0.816303637960323,-1.13457217158798,-1.12043919865267,-1.20919822537903,-0.589316054812166,-0.468445418115703
